iso,zone,year,dc_load_mw,forecast_vintage,data_source
PJM,DEOK,2026,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2027,1,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2028,42,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2029,198,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2030,241,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2031,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2032,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2033,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2034,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2035,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2036,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2037,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2038,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2039,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2040,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2041,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2042,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2043,243,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2044,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2045,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2026,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2027,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2028,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2029,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2030,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2031,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2032,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2033,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2034,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2035,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2036,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2037,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2038,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2039,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2040,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2041,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2042,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2043,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2044,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2045,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2046,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2025,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2026,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2027,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2028,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2029,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2030,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2031,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2032,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2033,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2034,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2035,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DLCO,2036,0,2025_forecast,PJM_Load_Forecast_Table_B9b
